OT_ID,Equipo_ID,Nombre_Equipo,Servicio,Criticidad,Marca,Fecha,Tipo_OT,Tipo_Falla,MTTR_Horas,Costo_OT_COP,Tecnico,Estado_OT
OT-000127,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2021-12-27,Preventivo,PM Programado,2.7,668434,Paola Gómez,Cerrada
OT-000128,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-03-25,Preventivo,PM Programado,1.7,556322,Miguel Torres,Cerrada
OT-000129,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-07-03,Preventivo,PM Programado,2.9,640953,Laura Martínez,Cerrada
OT-000130,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-09-29,Preventivo,PM Programado,3.4,883132,Sandra López,Cerrada
OT-000131,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-12-28,Preventivo,PM Programado,2.9,1182693,Jhon Castro,Cerrada
OT-000132,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-03-24,Preventivo,PM Programado,2.3,1063852,Diana Vargas,Pendiente
OT-000133,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-06-18,Preventivo,PM Programado,3.6,344309,Carlos Rodríguez,Cerrada
OT-000134,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-09-27,Preventivo,PM Programado,3.0,780538,Carlos Rodríguez,Cerrada
OT-000135,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-12-22,Preventivo,PM Programado,1.3,340188,Miguel Torres,Cerrada
OT-000136,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-03-16,Preventivo,PM Programado,3.9,423515,Sandra López,Cerrada
OT-000137,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-06-24,Preventivo,PM Programado,2.8,979048,Miguel Torres,Pendiente
OT-000138,BIO-0004,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-09-18,Preventivo,PM Programado,1.3,901271,Laura Martínez,Cerrada
OT-000139,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-01-16,Correctivo,Sensor/Transductor,0.5,4022000,Diana Vargas,Cerrada
OT-000140,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-04-09,Correctivo,Accesorio,2.7,3427000,Sandra López,Cerrada
OT-000141,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-05-07,Correctivo,Eléctrica,3.2,2152000,Miguel Torres,Cerrada
OT-000142,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-06-12,Correctivo,Sensor/Transductor,8.4,708000,Carlos Rodríguez,En proceso
OT-000143,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-08-02,Correctivo,Eléctrica,1.9,1159000,Diana Vargas,Cerrada
OT-000144,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-09-30,Correctivo,Accesorio,1.8,3111000,Carlos Rodríguez,Cerrada
OT-000145,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-12-12,Correctivo,Mecánica,3.8,70084000,Jhon Castro,Cerrada
OT-000146,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2022-12-31,Correctivo,Software,5.3,1187000,Laura Martínez,Cerrada
OT-000147,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-01-05,Correctivo,Mecánica,0.5,6830000,Laura Martínez,Cerrada
OT-000148,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-02-26,Correctivo,Accesorio,1.3,4368000,Paola Gómez,Cerrada
OT-000149,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-04-16,Correctivo,Eléctrica,4.3,6385000,Diana Vargas,Cerrada
OT-000150,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-05-03,Correctivo,Software,0.5,3472000,Miguel Torres,Cerrada
OT-000151,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-06-10,Correctivo,Eléctrica,7.3,4150000,Paola Gómez,Cerrada
OT-000152,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-08-10,Correctivo,Calibración,1.1,11654000,Miguel Torres,Cerrada
OT-000153,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2023-12-12,Correctivo,Eléctrica,14.2,2917000,Diana Vargas,En proceso
OT-000154,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-02-10,Correctivo,Sensor/Transductor,1.0,8984000,Sandra López,Cerrada
OT-000155,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-02-23,Correctivo,Desgaste,3.9,8054000,Carlos Rodríguez,Cerrada
OT-000156,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-03-24,Correctivo,Mecánica,3.5,6410000,Miguel Torres,Cerrada
OT-000157,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-08-03,Correctivo,Sensor/Transductor,7.5,6464000,Laura Martínez,Cerrada
OT-000158,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-08-31,Correctivo,Desgaste,7.7,761000,Diana Vargas,Cerrada
OT-000159,BIO-0005,Ventilador Mecánico Neonatal,Neonatología,Crítico,Draeger,2024-09-14,Correctivo,Accesorio,0.5,933000,Andrés Peña,Cerrada
